pid,A,Y,X
130,0.0,4.5633,2.819
131,1.0,5.0335,1.065
132,1.0,2.526,0.825
133,1.0,0.7434,-0.9062
134,0.0,-0.5981,-0.5388
135,0.0,-1.3678,-0.3561
136,1.0,-0.607,-1.4273
137,1.0,3.9752,0.8228
138,1.0,0.9938,-0.0417
139,1.0,1.6865,0.6779
140,0.0,0.8626,0.0533
141,0.0,-0.1326,0.5967
142,0.0,0.2063,-1.1503
143,0.0,-3.046,-2.3968
144,0.0,-0.0815,-0.9859
145,1.0,0.2628,-0.4803
146,1.0,5.4232,2.071
147,0.0,-0.1254,-0.3948
148,1.0,1.4739,-0.9844
149,0.0,-3.4085,-1.1508
150,1.0,2.8524,0.1254
151,1.0,1.64,0.3235
152,1.0,2.9395,2.0887
153,0.0,1.5603,0.2045
154,1.0,3.0738,0.3117
155,1.0,4.6129,1.2265
156,1.0,3.343,-0.1133
157,0.0,-0.3548,-0.2537
158,0.0,3.2709,1.2283
159,0.0,0.9826,0.2099
160,1.0,3.9847,1.9646
161,0.0,-0.3691,0.1806
162,0.0,1.2406,0.8448
163,0.0,-0.8316,-0.47
164,1.0,1.7487,-0.0771
165,0.0,-1.0362,-0.1545
166,0.0,-2.1658,-0.6708
167,1.0,2.7741,0.1415
168,0.0,0.6804,1.1806
169,0.0,-1.0901,-0.3414
170,0.0,-1.8277,-0.3652
171,1.0,2.0702,0.6539
172,0.0,-2.6416,-0.8736
173,1.0,1.3735,-0.5465
174,1.0,1.8726,-0.0834
175,1.0,1.3076,-0.4001
176,1.0,1.6752,0.0883
177,0.0,1.8835,0.2292
178,0.0,-1.5555,-1.04
179,0.0,0.3729,0.0063
180,0.0,-1.1314,-0.662
181,0.0,-1.292,-0.6411
182,1.0,2.9951,0.8678
183,0.0,-2.3377,-1.933
184,0.0,-1.365,-1.815
185,0.0,0.4246,-0.9363
186,1.0,6.1917,2.2384
187,1.0,2.3723,0.2116
188,1.0,0.9084,1.103
189,1.0,5.1274,1.735
190,1.0,2.7004,0.9304
191,0.0,-2.5148,-0.9698
192,1.0,3.4345,-0.298
193,0.0,-1.0477,-0.7995
194,1.0,1.0753,-0.2924
195,1.0,2.6928,-0.1876
196,0.0,-1.9414,-0.4743
197,0.0,-0.2527,-0.3311
198,1.0,4.533,1.8734
199,0.0,-1.2801,0.1986
200,0.0,-0.2724,-0.2223
201,1.0,3.0016,1.7622
202,0.0,0.6751,0.1102
203,0.0,2.0002,0.5859
204,1.0,3.1233,-0.1723
205,0.0,-1.925,-1.7158
206,1.0,3.4891,0.9797
207,0.0,-0.2448,-0.4178
208,1.0,1.5077,-0.6423
209,0.0,1.0877,0.0952
210,1.0,2.2845,0.2201
211,0.0,-2.512,-1.0192
212,0.0,1.0962,-0.0345
213,0.0,-0.9186,-0.5455
214,0.0,0.9569,0.6743
215,1.0,2.0301,-0.2149
216,0.0,1.8135,0.7697
217,0.0,-1.0521,-0.2271
218,0.0,-1.6361,-1.0894
219,1.0,2.4438,0.0003
220,1.0,2.366,0.589
221,1.0,0.8039,-0.5733
222,0.0,-1.3442,-0.7718
223,1.0,1.6544,0.5139
224,0.0,1.765,1.0941
225,0.0,-0.9864,-0.9574
226,0.0,0.5094,-0.7262
227,0.0,-1.1234,-1.3381
228,0.0,-2.132,-1.462
229,0.0,0.6892,0.2482
230,0.0,0.8156,0.3183
231,0.0,-0.71,-0.3548
232,0.0,0.972,0.2215
233,0.0,-0.6627,-1.7623
234,0.0,-0.5863,-0.2426
235,0.0,-1.8487,-0.6419
236,1.0,2.9511,0.8582
237,0.0,-3.3915,-3.0014
238,0.0,-1.3334,0.183
239,1.0,3.0149,0.8936
240,0.0,0.6283,0.6593
241,1.0,1.7155,0.7954
242,0.0,-1.4397,-1.0326
243,0.0,-0.6347,-1.1458
244,0.0,1.5338,0.5953
245,1.0,2.3006,0.9229
246,0.0,-0.8493,-0.3419
247,0.0,0.4259,1.4658
248,0.0,0.3759,0.2151
249,1.0,1.7249,0.1473
250,1.0,1.338,-0.4978
251,0.0,-3.1547,-0.8248
252,0.0,0.7618,-0.5541
253,1.0,3.7374,1.0025
254,0.0,0.0547,-0.7787
255,1.0,6.635,2.14
256,0.0,2.3031,0.8694
257,0.0,1.6232,-0.338
258,0.0,-1.3715,-0.5559
259,1.0,3.0294,0.4803
260,0.0,2.4643,2.4221
261,1.0,4.7309,0.858
262,1.0,2.8048,1.2752
263,0.0,-0.2376,-0.2435
264,0.0,-2.27,-0.7344
265,0.0,-3.7865,-1.1517
266,1.0,1.1892,-0.4942
267,0.0,-0.2643,-0.8181
268,0.0,-3.3106,-2.0054
269,1.0,1.1429,0.5938
270,0.0,-0.8682,-0.2159
271,1.0,3.3361,-0.3283
272,0.0,-0.8532,0.2307
273,0.0,-2.9081,-1.2125
274,0.0,1.2969,-0.0305
275,0.0,-3.9193,-2.0697
276,0.0,-2.8041,-1.6675
277,0.0,-1.0728,0.171
278,1.0,3.2915,1.0971
279,0.0,-0.8643,-0.2492
280,0.0,-1.6438,-0.9091
281,0.0,-2.7162,-1.8698
282,1.0,0.5274,-0.7308
283,0.0,-1.1448,-0.8383
284,1.0,3.6433,0.0627
285,1.0,4.2885,1.1549
286,0.0,-2.4038,-0.0845
287,1.0,3.7076,0.168
288,1.0,2.2826,0.7692
289,0.0,-1.6373,-1.0427
290,0.0,-0.5287,-0.2588
291,1.0,3.1526,0.7889
292,1.0,1.2304,0.0483
293,0.0,-1.5338,-1.4474
294,0.0,1.3687,0.1921
295,0.0,-0.4232,-0.063
296,1.0,2.7102,-0.1887
297,1.0,2.832,0.4545
298,0.0,1.2609,0.0087
299,1.0,1.8842,-0.5366
300,1.0,3.669,0.77
301,0.0,0.6831,0.0725
302,0.0,-1.6752,-0.8467
303,1.0,3.7043,1.5323
304,1.0,3.3598,0.0471
305,0.0,-0.743,-1.7047
306,0.0,-0.6295,-0.2845
307,1.0,0.2105,-0.9191
308,0.0,0.9355,1.0392
309,1.0,4.1979,0.5418
310,1.0,2.8702,1.112
311,1.0,5.1309,2.1326
312,0.0,0.2078,0.2513
313,1.0,2.9001,0.2301
314,1.0,-1.5868,-0.6101
315,0.0,0.6249,0.4519
316,1.0,3.9041,1.6147
317,1.0,3.09,1.2037
318,1.0,0.6745,-0.4571
319,1.0,4.5549,2.0835
320,1.0,1.6417,-0.8776
321,1.0,4.6267,1.6329
322,1.0,0.5024,-0.5137
323,1.0,-2.056,-1.068
324,0.0,-1.1385,-0.4516
325,0.0,-2.6588,-1.7865
326,1.0,3.327,-0.4584
327,1.0,5.2521,1.8779
328,1.0,2.5254,0.6479
329,0.0,0.2011,-0.221
330,0.0,-1.6011,-0.3132
331,0.0,-2.2237,-0.6911
332,0.0,-0.5595,0.0334
333,1.0,1.4805,0.5108
334,0.0,-1.3826,-0.847
335,1.0,1.1337,-1.1124
336,0.0,-0.5893,-0.4831
337,0.0,1.6517,0.7071
338,1.0,-0.0874,-0.3893
339,1.0,0.1187,-0.8707
340,0.0,-2.339,-1.6724
341,0.0,-1.865,-1.1394
342,1.0,2.7723,1.1837
343,1.0,1.6737,-0.0703
344,0.0,0.1037,0.1073
345,1.0,3.7652,0.8503
346,1.0,3.0366,0.204
347,0.0,0.4748,-0.5446
348,0.0,1.4397,1.6583
349,0.0,2.6722,0.5215
350,1.0,3.0012,-0.0079
351,0.0,-1.403,-0.5353
352,0.0,1.2853,-0.2603
353,1.0,3.2437,2.4324
354,1.0,1.4635,-0.1322
355,0.0,-0.4665,0.8883
356,0.0,0.3453,-0.5581
357,0.0,0.9234,0.1541
358,0.0,1.1223,-0.0574
359,0.0,-1.4164,-1.2606
360,0.0,-2.4092,-0.9647
361,1.0,3.2967,1.086
362,0.0,-0.8066,-0.673
363,1.0,2.4649,0.6826
364,0.0,1.6781,0.6492
365,0.0,1.4201,1.5253
366,0.0,2.7164,-0.0476
367,1.0,3.1144,0.5912
368,0.0,-3.6657,-1.1087
369,0.0,-3.1572,-1.2112
370,0.0,-0.5235,-0.3083
371,0.0,0.3643,0.5175
372,0.0,-1.1892,-0.6024
373,1.0,2.9065,1.1077
374,1.0,4.5891,1.1199
375,0.0,1.3335,0.5143
376,0.0,-0.1499,-0.0783
377,0.0,1.0066,1.6406
378,1.0,2.1277,-0.158
379,1.0,0.4918,-0.518
380,1.0,3.1081,0.0654
381,1.0,3.5198,1.6024
382,1.0,2.8552,1.4704
383,1.0,4.5889,1.0427
384,0.0,-0.8734,-0.2767
385,1.0,3.0167,0.6185
386,0.0,-1.9357,-1.5433
387,0.0,-2.7294,-1.3002
388,1.0,2.4656,0.4082
389,1.0,1.4805,-0.5642
390,0.0,-2.7431,-1.9116
391,1.0,1.8783,-0.709
392,0.0,2.09,0.2473
393,1.0,2.158,-0.2903
394,1.0,3.4592,1.4308
395,1.0,1.277,0.9009
396,0.0,1.3304,0.1803
397,1.0,5.7009,2.3106
398,1.0,2.1207,1.017
399,0.0,0.2191,-0.6545
400,1.0,3.0395,1.7418
401,1.0,0.6384,0.072
402,0.0,-4.2097,-2.0425
403,1.0,4.295,1.194
404,1.0,6.4979,2.6421
405,1.0,3.8717,1.1998
406,0.0,-1.0225,0.2576
407,1.0,0.3516,-0.7392
408,1.0,3.2801,1.5054
409,0.0,-0.468,0.1126
410,1.0,3.9998,0.6989
411,1.0,2.858,1.4919
412,1.0,3.0843,0.2746
413,1.0,3.8359,1.6926
414,1.0,2.8811,0.797
415,1.0,2.2525,0.4223
416,0.0,0.2567,-0.9244
417,1.0,5.6291,1.2124
418,1.0,3.4577,0.4706
419,0.0,-4.1522,-2.6917
420,0.0,-0.3131,-0.9657
421,0.0,0.8086,1.2427
422,1.0,1.1388,0.0031
423,0.0,0.4046,-1.2523
424,1.0,1.0587,0.1016
425,1.0,4.1162,2.1494
426,1.0,2.0329,0.5808
427,1.0,2.4377,-0.7596
428,1.0,-0.4613,-1.5655
429,1.0,1.9368,-0.0805
430,0.0,-1.6904,-0.9938
431,1.0,0.955,0.1705
432,1.0,0.1028,-0.9211
433,0.0,-3.1692,-2.0105
434,0.0,1.1915,-0.2299
435,1.0,2.6811,1.2748
436,0.0,-1.4641,-1.7958
437,1.0,-0.722,-2.4123
438,0.0,-2.3892,-1.6666
439,0.0,1.7018,0.5835
440,1.0,2.6335,0.8067
441,0.0,-1.0053,-0.5048
442,0.0,2.0914,1.6722
443,1.0,4.2439,1.3475
444,1.0,1.6292,0.274
445,0.0,0.3749,0.1756
446,0.0,1.7392,0.7144
447,0.0,0.0008,-1.3299
448,1.0,2.8595,1.6274
449,0.0,-1.6329,-0.0464
450,1.0,1.0179,-0.2008
451,1.0,5.6318,1.3017
452,0.0,-0.1362,-0.9264
453,0.0,-2.0857,-0.9339
454,1.0,4.5478,2.5503
455,1.0,5.6493,1.6653
456,0.0,-2.259,-1.4287
457,0.0,0.0461,-0.3733
458,0.0,-1.3087,-1.1274
459,1.0,1.1228,0.113
460,1.0,1.8198,0.5409
461,1.0,3.4597,1.1126
462,0.0,-0.3994,0.1454
463,1.0,1.1002,0.5147
464,1.0,2.2359,-0.2019
465,1.0,3.2653,0.5808
466,0.0,-1.1499,-1.2645
467,1.0,2.5432,0.294
468,1.0,2.6154,0.3332
469,1.0,5.1998,1.9442
470,0.0,-3.6466,-2.2543
471,0.0,-2.1484,-1.0741
472,1.0,0.0818,0.2384
473,1.0,2.6322,-0.4067
474,1.0,2.485,-0.3439
475,0.0,-2.3831,-0.4436
476,1.0,3.1881,0.6872
477,1.0,0.9773,-0.5202
478,1.0,5.406,1.9806
479,0.0,-1.495,-0.6385
480,0.0,-0.8379,-0.7337
481,1.0,3.2312,0.9252
482,0.0,2.2779,0.8483
483,1.0,1.5194,0.8417
484,1.0,4.4837,0.8654
485,0.0,-0.2075,-0.7461
486,1.0,1.3473,0.2821
487,0.0,-3.2021,-1.8542
488,0.0,1.1072,0.949
489,0.0,-1.0099,-0.3826
490,0.0,0.0763,-0.6661
491,0.0,2.7926,1.0546
492,0.0,0.5198,0.9896
493,0.0,-0.732,-1.1505
494,0.0,0.8073,1.0705
495,1.0,2.6411,0.7106
496,1.0,3.6169,2.3009
497,1.0,2.0716,-0.8267
498,0.0,-0.2222,0.2654
499,0.0,-1.462,-0.9946
500,0.0,-1.6458,-0.5913
501,1.0,2.001,0.4861
502,0.0,-0.5498,-0.0521
503,0.0,-0.3403,0.0039
504,0.0,-3.1143,-1.1142
505,0.0,-1.6606,-1.2047
506,0.0,0.3188,-0.4789
507,0.0,1.3811,1.1131
508,1.0,4.8814,0.9702
509,1.0,1.1373,0.2378
510,0.0,0.2414,-0.0759
511,0.0,0.323,-0.6011
512,0.0,2.0279,1.1035
513,0.0,2.5996,1.1301
514,0.0,-2.3351,-1.2516
515,1.0,2.9536,-0.1911
516,1.0,1.9636,-0.0334
517,0.0,-0.0148,-1.0788
518,0.0,1.236,0.8044
519,0.0,-0.8651,0.2218
520,1.0,-1.039,-1.8976
521,1.0,6.1687,2.0202
522,0.0,-0.3314,-0.071
523,0.0,-1.6566,0.0291
524,0.0,0.4834,-0.4343
525,0.0,-0.2238,0.1041
526,0.0,-0.5724,-0.7539
527,1.0,4.0895,1.5005
528,1.0,1.697,0.3426
529,1.0,1.5067,0.2997
530,0.0,-0.5471,-0.9071
531,0.0,0.501,-0.5132
532,1.0,4.2752,1.2695
533,1.0,3.6311,1.667
534,1.0,1.4771,0.5531
535,0.0,-0.0001,-1.2421
536,0.0,0.7172,0.0507
537,1.0,1.241,-0.5743
538,1.0,4.7015,0.7452
539,1.0,4.2716,0.9288
540,1.0,-0.2417,-0.6735
541,1.0,1.5715,-0.1163
542,1.0,4.9133,1.6614
543,0.0,-1.4935,0.1452
544,0.0,1.1102,-0.0042
545,1.0,3.9412,1.5524
546,0.0,-0.3137,0.1277
547,0.0,-0.3179,0.7625
548,1.0,6.704,1.982
549,1.0,0.5104,0.6365
550,1.0,-0.0728,0.3421
551,1.0,2.595,0.1726
552,0.0,-2.2834,-1.9692
553,1.0,2.003,0.5713
554,1.0,3.3501,0.1697
555,1.0,2.432,-0.0671
556,1.0,2.0284,0.7945
557,0.0,-0.9008,-0.3068
558,0.0,-2.4147,-2.082
559,0.0,-0.0287,0.4134
560,0.0,-0.537,-0.2017
561,0.0,2.459,1.0108
562,0.0,-3.7229,-2.9067
563,0.0,-2.1709,-0.4791
564,1.0,2.9654,0.7118
565,0.0,2.0899,0.9023
566,1.0,3.5723,1.3104
567,0.0,-1.1813,-1.4412
568,0.0,0.0582,-0.3225
569,1.0,-0.2724,-0.0784
570,1.0,3.6669,0.315
571,1.0,-0.7421,-1.3398
572,1.0,3.6502,1.2373
573,1.0,3.941,0.7936
574,1.0,2.0934,-0.6898
575,1.0,1.5595,0.2543
576,0.0,2.0178,1.2106
577,0.0,-2.8753,-1.0602
578,1.0,1.7343,0.2076
579,0.0,0.4348,1.2956
580,0.0,-0.3129,-0.3613
581,1.0,3.9187,0.711
582,0.0,-0.7852,0.2071
583,1.0,2.1103,1.0486
584,0.0,0.7621,-0.3917
585,0.0,-2.6412,-0.4645
586,0.0,-0.1141,0.0365
587,0.0,0.2462,-0.8221
588,1.0,5.9053,1.2314
589,1.0,5.7127,2.2543
590,1.0,1.6944,-0.4251
591,0.0,0.2781,1.0083
592,1.0,2.7583,1.0516
593,0.0,-0.1921,-0.0622
594,1.0,4.1925,0.8848
595,1.0,1.5155,-1.531
596,0.0,0.534,-0.5764
597,1.0,4.2258,1.7617
598,1.0,1.2927,0.6577
599,0.0,0.2871,0.8161
600,0.0,1.526,0.2653
601,0.0,1.2482,0.5977
602,0.0,0.5115,-0.3785
603,1.0,0.9058,-0.0917
604,1.0,-0.4757,-1.2216
605,1.0,6.4675,1.5942
606,0.0,0.1263,-0.585
607,1.0,1.9494,-0.9543
608,1.0,1.4458,-0.2623
609,0.0,0.8462,0.1736
610,1.0,3.6,0.6509
611,1.0,-0.0624,-1.0415
612,1.0,1.5315,0.0728
613,1.0,0.7047,-0.9236
614,1.0,3.3396,1.3235
615,0.0,-0.166,-0.1763
616,0.0,1.794,1.1421
617,0.0,2.4406,0.9243
618,1.0,1.1788,-0.0847
619,1.0,1.6254,-0.3325
620,0.0,-0.3028,-0.0383
621,0.0,-1.4503,-0.4174
622,0.0,0.9202,-0.0235
623,1.0,2.7231,1.3366
624,0.0,-0.3303,-0.198
625,0.0,0.5779,0.1982
626,0.0,-1.1554,-0.2616
627,0.0,0.0958,-0.76
628,1.0,1.7452,-0.5202
629,1.0,2.357,0.3842
630,1.0,3.6569,1.4975
631,0.0,-2.0351,-1.9194
632,0.0,1.3876,0.3667
633,1.0,6.0356,2.3193
634,0.0,0.7842,-0.8364
635,0.0,-2.5774,-0.2593
636,1.0,-0.3808,-0.8566
637,1.0,1.8712,-0.6241
638,1.0,3.6329,0.6333
639,0.0,-1.5942,-0.3073
640,0.0,-2.7206,-1.7336
641,1.0,1.9965,0.3005
642,1.0,0.7204,0.9388
643,1.0,2.2367,0.3646
644,1.0,1.4643,1.0529
645,1.0,0.5953,-0.7377
646,0.0,-2.2014,-1.6967
647,0.0,-0.147,0.282
648,1.0,2.0906,0.1347
649,1.0,2.9204,0.6431
650,0.0,-1.8705,0.1546
651,0.0,-4.0085,-0.7717
652,1.0,3.1999,1.239
653,1.0,1.0773,-0.8854
654,0.0,-2.0572,-1.621
655,0.0,0.0811,-0.1888
656,0.0,0.1636,0.4196
657,0.0,0.3963,-0.2899
658,1.0,5.0086,2.3854
659,1.0,1.4603,0.8296
660,1.0,0.6489,0.1386
661,1.0,1.2541,0.5669
662,1.0,1.2624,-0.2481
663,1.0,3.7208,1.4403
664,1.0,2.6894,0.6621
665,0.0,0.2431,-0.6571
666,0.0,1.4974,0.9848
667,0.0,-2.0774,-1.6548
668,1.0,2.8396,1.7704
669,1.0,2.2711,-0.3951
670,0.0,-1.0383,-1.2116
671,1.0,3.5044,2.1015
672,0.0,0.7759,-0.3701
673,0.0,1.4131,0.3651
674,1.0,-0.1742,-0.641
675,1.0,2.3818,0.4805
676,1.0,3.0671,-0.0004
677,0.0,-1.2357,-0.3005
678,1.0,3.3017,0.9131
679,0.0,-1.695,-0.862
680,0.0,-1.9172,-0.5908
681,0.0,0.2608,0.2724
682,1.0,4.5775,0.5985
683,0.0,-0.8972,-0.3779
684,0.0,-2.1613,-1.6069
685,0.0,-1.6375,-0.2024
686,0.0,-2.174,-0.4623
687,1.0,4.0268,1.2335
688,1.0,4.5059,0.7197
689,1.0,4.2464,0.6959
690,0.0,-0.9705,-0.6415
691,1.0,3.2061,1.1062
692,0.0,-2.125,-0.2342
693,0.0,2.6281,0.8302
694,1.0,3.74,1.1316
695,0.0,0.3517,-0.394
696,0.0,-0.4543,-0.845
697,0.0,0.148,1.0567
698,1.0,3.0562,0.5158
699,1.0,1.3877,-0.1018
700,1.0,-0.4152,-0.6493
701,0.0,-2.2192,-1.4426
702,0.0,-3.8121,-2.869
703,1.0,2.079,1.2438
704,0.0,-0.7528,-0.1774
705,0.0,-2.6683,-0.7025
706,1.0,3.9721,0.3622
707,1.0,4.0783,1.0619
708,1.0,5.361,1.8561
709,0.0,0.1045,-0.4957
710,1.0,1.6969,-0.1165
711,1.0,1.9162,0.5108
712,0.0,-2.9054,-1.5513
713,0.0,-2.961,-1.4345
714,0.0,0.5151,-0.6591
715,1.0,2.7889,1.2813
716,1.0,0.9641,1.0157
717,0.0,-2.301,-1.2385
718,1.0,1.052,-1.7097
719,0.0,2.3296,0.6765
720,0.0,-0.6698,-1.006
721,1.0,1.5713,0.2979
722,1.0,0.7247,0.246
723,0.0,-0.6443,-0.9193
724,0.0,1.2552,0.0468
725,0.0,0.7914,0.6511
726,1.0,4.3776,1.2415
727,0.0,1.0631,0.331
728,0.0,-1.6282,-0.3846
729,1.0,2.722,0.8071
730,0.0,0.9192,-0.0076
731,0.0,-2.9328,-1.7481
732,1.0,2.3013,0.4083
733,0.0,0.9992,-0.4992
734,1.0,3.0991,0.2606
735,1.0,3.5129,1.1513
736,0.0,-0.485,0.0994
737,0.0,2.2796,0.9612
738,1.0,0.709,-0.8653
739,0.0,0.1309,-0.2243
740,1.0,1.9742,0.9065
741,1.0,1.8925,0.8389
742,1.0,1.1683,-0.867
743,0.0,0.3913,-0.4265
744,0.0,0.0494,-0.818
745,1.0,1.7523,0.7601
746,1.0,2.0636,0.5196
747,0.0,-1.4206,-1.0108
748,1.0,3.4162,1.5339
749,0.0,1.5566,-0.1006
750,0.0,-0.3449,-1.9433
751,0.0,-4.8046,-2.342
752,0.0,-0.3136,-0.2553
753,0.0,-0.1873,0.0193
754,0.0,-0.2684,0.5876
755,0.0,-0.493,-0.2044
756,1.0,3.5879,3.0926
757,0.0,-1.623,-1.8209
758,0.0,-0.1349,-1.5869
759,0.0,-1.9485,-1.6559
760,0.0,-2.7966,-2.1357
761,1.0,1.6359,-0.0136
762,0.0,-1.1646,-0.1656
763,0.0,-0.6401,0.2652
764,0.0,-0.4972,-0.1056
765,0.0,-2.3215,-1.5595
766,0.0,-3.5304,-2.3619
767,1.0,-1.1216,-1.5883
768,1.0,2.4315,0.4489
769,0.0,-0.2894,-1.3497
770,0.0,0.4693,-0.0981
771,0.0,1.3133,-0.1089
772,0.0,-1.7657,-1.6589
773,0.0,-3.6908,-2.6061
774,0.0,-1.4677,-1.5036
775,1.0,0.3862,-1.1653
776,1.0,2.268,-0.0244
777,0.0,0.1359,0.8995
778,0.0,-1.5188,-0.0936
779,0.0,0.0436,-0.1167
780,1.0,3.8841,0.4722
781,1.0,1.1321,0.9017
782,1.0,2.0548,-0.1945
783,1.0,2.2469,-0.131
784,1.0,4.2412,0.0411
785,0.0,1.7168,0.3828
786,1.0,2.2538,0.7259
787,1.0,2.633,0.9767
788,0.0,1.0303,-0.6578
789,0.0,0.8254,0.1252
790,1.0,4.0701,0.5454
791,1.0,2.114,0.6559
792,0.0,0.1908,-0.3727
793,0.0,-0.0083,-0.2335
794,1.0,2.0468,0.1106
795,0.0,-1.8999,-1.27
796,1.0,2.6812,0.5955
797,0.0,-0.8191,-1.3578
798,1.0,1.828,0.7256
799,0.0,-0.0833,0.0518
800,0.0,-0.9791,0.3574
801,1.0,3.9136,-0.1739
802,0.0,-2.9266,-0.7517
803,0.0,0.9137,-0.3617
804,1.0,4.2458,0.6968
805,0.0,0.2931,0.2271
806,0.0,2.1688,1.4261
807,0.0,-0.4137,-0.4405
808,0.0,-0.5564,-0.7928
809,0.0,-0.0249,-0.0129
810,1.0,4.3837,1.9284
811,0.0,-3.0828,-1.9242
812,1.0,2.3336,0.4377
813,1.0,4.5509,1.7771
814,1.0,5.5135,1.6488
815,0.0,2.6601,1.6729
816,1.0,2.7328,0.8948
817,1.0,3.4475,0.7471
818,0.0,-2.0887,-0.5387
819,0.0,0.3824,-0.1392
820,1.0,1.8586,0.3641
821,1.0,3.6351,1.1385
822,0.0,0.1376,0.4123
823,0.0,2.9003,0.8245
824,1.0,2.7122,-0.1241
825,0.0,-1.9579,-1.2647
826,0.0,0.928,0.3021
827,0.0,-2.0587,-0.2489
828,1.0,2.2032,-1.1395
829,0.0,0.5322,-0.5903
830,0.0,-0.6648,-0.1282
831,0.0,1.5012,0.359
832,1.0,3.6288,-0.3875
833,0.0,-1.3946,-1.699
834,1.0,2.6835,1.3096
835,0.0,-1.6434,-1.5132
836,0.0,-0.0526,-0.3488
837,0.0,-1.9279,-1.0702
838,1.0,-1.1004,-0.5103
839,1.0,-0.4673,-1.1813
